acc = 1.0000E-04
maxiter = 1000
sigma = 0.5
alpha1 = 0.75
alpha2 = 0.8
presolve = (True, True, None)
scaling = 0

Datei       Rows      Columns   Nonzeros  NetlibFun      Fun            mu        phi       Pred  Iter  Time(s)   Status    
====================================================================================================================================================================================
25FV47      822       1571      11127     5.501846E+03   5.501846E+03   8.49E-05  7.49E-05  1     40    1.40      Erfolg    
80BAU3B     2263      9799      29063     9.872322E+05   9.872242E+05   3.08E-05  3.50E-05  4     77    68.41     Erfolg    
ADLITTLE    57        97        465       2.254950E+05   2.254950E+05   1.23E-03  1.05E-03  5     16    0.07      Erfolg    
AFIRO       28        32        88        -4.647531E+02  -4.647531E+02  7.40E-06  9.86E-06  4     6     0.01      Erfolg    
AGG         489       163       2541      -3.599177E+07  -3.599176E+07  9.59E-06  4.09E-06  8     37    0.61      Erfolg    
AGG2        517       302       4515      -2.023925E+07  -2.023925E+07  4.49E-04  8.68E-05  4     24    0.66      Erfolg    
AGG3        517       302       4531      1.031212E+07   1.031212E+07   2.89E-04  5.69E-04  5     28    0.78      Erfolg    
BANDM       306       472       2659      -1.586280E+02  -1.588418E+02  4.00E-05  2.67E-05  0     37    0.36      Erfolg    
BEACONFD    174       262       3476      3.359249E+04   3.359249E+04   2.77E-05  5.40E-05  3     17    0.11      Erfolg    
BLEND       75        83        521       -3.081215E+01  -3.081215E+01  1.43E-04  9.61E-06  2     14    0.05      Erfolg    
BNL1        644       1175      6129      1.977629E+03   1.977630E+03   3.59E-05  4.56E-05  0     196   4.37      Erfolg    
BNL2        2325      3489      16124     1.811237E+03   1.811216E+03   2.66E-05  3.34E-05  0     89    8.94      Erfolg    
BORE3D      234       315       1525      1.373080E+03   1.369704E+03   1.02E-04  7.89E-05  0     43    0.92      Erfolg    
BRANDY      221       249       2150      1.518510E+03   1.518510E+03   6.32E-04  3.03E-04  0     48    0.26      Erfolg    
CAPRI       272       353       1786      2.690013E+03   2.690095E+03   3.28E-06  7.14E-06  10    131   1.86      Erfolg    
