acc = 1.0000E-04
maxiter = 1000
sigma = 0.5
alpha1 = 0.75
alpha2 = 0.8
presolve = (True, True, None)
scaling = 0

Datei       Rows      Columns   Nonzeros  NetlibFun      Fun            mu        phi       Pred  Iter  Time(s)   Status    
====================================================================================================================================================================================
25FV47      822       1571      11127     5.501846E+03   5.501846E+03   8.49E-05  7.49E-05  1     40    1.45      Erfolg    
80BAU3B     2263      9799      29063     9.872322E+05   9.872242E+05   3.08E-05  3.50E-05  4     77    70.77     Erfolg    
ADLITTLE    57        97        465       2.254950E+05   2.254950E+05   1.23E-03  1.05E-03  5     16    0.12      Erfolg    
AFIRO       28        32        88        -4.647531E+02  -4.647531E+02  7.40E-06  9.86E-06  4     6     0.02      Erfolg    
AGG         489       163       2541      -3.599177E+07  -3.599176E+07  9.59E-06  4.09E-06  8     37    0.97      Erfolg    
AGG2        517       302       4515      -2.023925E+07  -2.023925E+07  4.49E-04  8.68E-05  4     24    0.82      Erfolg    
AGG3        517       302       4531      1.031212E+07   1.031212E+07   2.89E-04  5.69E-04  5     28    1.19      Erfolg    
BANDM       306       472       2659      -1.586280E+02  -1.586280E+02  4.45E-05  1.98E-05  0     45    1.13      Erfolg    
BEACONFD    174       262       3476      3.359249E+04   3.359249E+04   2.77E-05  5.40E-05  3     17    0.18      Erfolg    
BLEND       75        83        521       -3.081215E+01  -3.081215E+01  1.13E-04  2.32E-05  4     16    0.08      Erfolg    
BNL1        644       1175      6129      1.977629E+03   1.977630E+03   3.59E-05  4.56E-05  0     196   5.28      Erfolg    
BNL2        2325      3489      16124     1.811237E+03   1.811216E+03   2.66E-05  3.34E-05  0     89    10.74     Erfolg    
BORE3D      234       315       1525      1.373080E+03   1.373081E+03   2.69E-04  8.97E-05  1     56    0.55      Erfolg    
BRANDY      221       249       2150      1.518510E+03   1.518510E+03   6.32E-04  3.03E-04  0     48    0.35      Erfolg    
CAPRI       272       353       1786      2.690013E+03   2.690095E+03   3.28E-06  7.14E-06  10    131   2.12      Erfolg    
CYCLE       1904      2857      21322     -5.226393E+00  -5.226393E+00  2.14E-06  7.95E-05  4     529   43.21     Erfolg    
CZPROB      930       3523      14173     2.185197E+06   2.185197E+06   1.23E-03  9.91E-04  1     50    2.95      Erfolg    
D2Q06C      2172      5167      35674     1.227842E+05   1.227842E+05   3.62E-05  1.91E-05  1     161   32.28     Erfolg    
D6CUBE      416       6184      43888     3.154917E+02   3.154917E+02   1.40E-04  2.64E-04  0     18    3.98      Erfolg    
