acc = 1.0000E-04
maxiter = 1000
sigma = 0.5
alpha1 = 0.75
alpha2 = 0.8
presolve = (True, True, None)
scaling = 0

Datei       Rows      Columns   Nonzeros  NetlibFun      Fun            mu        phi       Pred  Iter  Time(s)   Status    
====================================================================================================================================================================================
25FV47      822       1571      11127     5.501846E+03   5.501846E+03   5.90E-06  9.86E-06  2     116   4.27      Erfolg    
80BAU3B     2263      9799      29063     9.872322E+05   9.872242E+05   6.00E-05  7.40E-05  3     197   169.43    Erfolg    
ADLITTLE    57        97        465       2.254950E+05   2.254950E+05   4.03E-06  3.69E-06  8     21    36.22     Erfolg    
AFIRO       28        32        88        -4.647531E+02  -4.647531E+02  3.79E-04  7.59E-04  5     9     0.02      Erfolg    
AGG         489       163       2541      -3.599177E+07  -3.599438E+07  2.08E-05  3.24E-02  29    1000  453.36    Maxiter   
AGG2        517       302       4515      -2.023925E+07  -2.023925E+07  6.39E-04  1.71E-04  4     42    0.91      Erfolg    
AGG3        517       302       4531      1.031212E+07   1.031212E+07   1.40E-03  2.40E-04  4     44    2.13      Erfolg    
BANDM       306       472       2659      -1.586280E+02  -1.586280E+02  5.53E-05  2.58E-05  0     47    0.48      Erfolg    
BEACONFD    174       262       3476      3.359249E+04   3.359249E+04   1.81E-06  3.60E-06  4     15    0.09      Erfolg    
BLEND       75        83        521       -3.081215E+01  -3.081215E+01  4.02E-04  2.08E-04  4     15    0.05      Erfolg    
BNL1        644       1175      6129      1.977629E+03   1.977630E+03   5.31E-05  4.40E-05  0     204   4.56      Erfolg    
BNL2        2325      3489      16124     1.811237E+03   1.811490E+03   4.01E-06  1.42E-06  4     445   45.80     Erfolg    
BORE3D      234       315       1525      1.373080E+03   1.373081E+03   1.51E-04  4.36E-05  1     57    0.39      Erfolg    
BRANDY      221       249       2150      1.518510E+03   1.518510E+03   1.91E-05  3.56E-05  8     45    0.28      Erfolg    
CAPRI       272       353       1786      2.690013E+03   2.690013E+03   2.17E-07  4.29E-07  6     167   2.33      Erfolg    
CYCLE       1904      2857      21322     -5.226393E+00  -5.226393E+00  4.07E-07  2.14E-05  5     297   21.58     Erfolg    
CZPROB      930       3523      14173     2.185197E+06   2.185197E+06   1.60E-03  2.42E-04  2     78    4.08      Erfolg    
