acc = 1.0000E-04
maxiter = 1000
sigma = 0.5
alpha1 = 0.75
alpha2 = 0.8
presolve = (True, True, None)
scaling = 0

Datei       Rows      Columns   Nonzeros  NetlibFun      Fun            mu        phi       Pred  Iter  Time(s)   Status    
====================================================================================================================================================================================
25FV47      822       1571      11127     5.501846E+03   5.501846E+03   8.49E-05  7.49E-05  1     40    0.27      Erfolg    
80BAU3B     2263      9799      29063     9.872322E+05   9.872242E+05   3.08E-05  3.50E-05  4     77    2.32      Erfolg    
ADLITTLE    57        97        465       2.254950E+05   2.254950E+05   1.23E-03  1.05E-03  5     16    0.02      Erfolg    
AFIRO       28        32        88        -4.647531E+02  -4.647531E+02  7.40E-06  9.86E-06  4     6     0.01      Erfolg    
AGG         489       163       2541      -3.599177E+07  -3.599176E+07  9.59E-06  4.09E-06  8     37    0.10      Erfolg    
AGG2        517       302       4515      -2.023925E+07  -2.023925E+07  4.49E-04  8.68E-05  4     24    0.10      Erfolg    
AGG3        517       302       4531      1.031212E+07   1.031212E+07   2.89E-04  5.69E-04  5     28    0.12      Erfolg    
BANDM       306       472       2659      -1.586280E+02  -1.586280E+02  6.21E-05  4.74E-05  0     43    0.06      Erfolg    
BEACONFD    174       262       3476      3.359249E+04   3.359249E+04   2.77E-05  5.40E-05  3     17    0.02      Erfolg    
BLEND       75        83        521       -3.081215E+01  -3.081215E+01  1.43E-04  9.61E-06  2     14    0.01      Erfolg    
BNL1        644       1175      6129      1.977629E+03   1.977630E+03   3.59E-05  4.56E-05  0     196   0.42      Erfolg    
BNL2        2325      3489      16124     1.811237E+03   1.811235E+03   4.19E-05  8.19E-05  0     85    1.22      Erfolg    
BORE3D      234       315       1525      1.373080E+03   1.373081E+03   2.42E-04  1.13E-04  1     53    0.08      Erfolg    
BRANDY      221       249       2150      1.518510E+03   1.518510E+03   6.32E-04  3.03E-04  0     48    0.05      Erfolg    
CAPRI       272       353       1786      2.690013E+03   2.690095E+03   3.28E-06  7.14E-06  10    131   0.20      Erfolg    
CYCLE       1904      2857      21322     -5.226393E+00  -5.226393E+00  2.14E-06  7.95E-05  4     529   8.13      Erfolg    
CZPROB      930       3523      14173     2.185197E+06   2.185197E+06   1.23E-03  9.91E-04  1     50    0.09      Erfolg    
D2Q06C      2172      5167      35674     1.227842E+05   1.227842E+05   8.95E-06  5.70E-06  0     223   4.74      Erfolg    
D6CUBE      416       6184      43888     3.154917E+02   3.154918E+02   9.05E-05  2.38E-04  1     21    0.15      CrErfolg  
DEGEN2      445       534       4449      -1.435178E+03  -1.435178E+03  2.86E-04  1.90E-04  7     15    0.06      Erfolg    
DEGEN3      1504      1818      26230     -9.872940E+02  -9.872940E+02  3.07E-04  1.95E-04  0     13    0.25      Erfolg    
DFL001      6072      12230     41873     1.126640E+07   8.651886E+06   5.22E-02  4.49E+01  5     1000  85.65     Maxiter   
E226        224       282       2767      -1.875193E+01  -1.875193E+01  1.13E-04  8.60E-05  0     25    0.03      Erfolg    
ETAMACRO    401       688       2489      -7.557152E+02  -7.557152E+02  1.44E-05  1.96E-05  3     40    0.12      Erfolg    
FFFFF800    525       854       6235      5.556796E+05   5.556765E+05   5.89E-08  3.56E-06  9     310   1.38      Erfolg    
FINNIS      498       614       2714      1.727910E+05   1.727916E+05   3.46E-05  5.43E-05  2     45    0.08      Erfolg    
FIT1D       25        1026      14430     -9.146378E+03  -9.146378E+03  5.50E-06  5.27E-09  7     124   0.36      Erfolg    
FIT1P       628       1677      10894     9.146378E+03   9.146378E+03   4.44E-04  1.37E-04  6     91    1.00      Erfolg    
FIT2D       26        10500     138018    -6.846429E+04  -6.846429E+04  2.54E-06  5.09E-06  9     210   4.39      Erfolg    
FIT2P       3001      13525     60784     6.846429E+04   6.846430E+04   3.58E-06  2.26E-06  9     71    31.82     Erfolg    
GANGES      1310      1681      7021      -1.095864E+05  -1.095616E+05  5.55E-08  1.21E-05  14    346   1.39      Erfolg    
GFRD-PNC    617       1092      3467      6.902236E+06   6.902236E+06   1.80E-03  3.47E-03  1     142   0.19      Erfolg    
GREENBEA    2393      5405      31499     -7.246241E+07  -7.285645E+07  1.74E+00  8.13E+01  0     100   2.57      CrMaxiter 
GREENBEB    2393      5405      31499     -4.302148E+06  -4.302260E+06  1.20E-05  8.45E-05  0     133   3.53      Erfolg    
GROW15      301       645       5665      -1.068709E+08  -1.068709E+08  4.87E-03  1.91E-03  0     113   0.23      Erfolg    
GROW22      441       946       8318      -1.608343E+08  -1.608343E+08  2.93E-02  2.80E-03  0     67    0.16      Erfolg    
GROW7       141       301       2633      -4.778781E+07  -4.778781E+07  2.60E-03  2.57E-05  0     111   0.17      Erfolg    
ISRAEL      175       142       2358      -8.966448E+05  -8.966448E+05  3.07E-05  2.88E-05  6     241   0.52      Erfolg    
KB2         44        41        291       -1.749900E+03  -1.749900E+03  1.48E-04  1.21E-05  6     361   0.41      Erfolg    
LOTFI       154       308       1086      -2.526471E+01  -2.526475E+01  1.28E-07  8.85E-05  2     297   0.39      Erfolg    
MAROS-R7    3137      9408      151120    1.497185E+06   1.497185E+06   4.02E-07  2.65E-10  6     173   8.92      Erfolg    
MAROS       847       1443      10006     -5.806374E+04  -5.806373E+04  9.54E-06  1.60E-05  0     251   1.58      Erfolg    
MODSZK1     688       1620      4158      3.206197E+02   3.206277E+02   1.56E-05  2.37E-05  0     27    0.05      Erfolg    
PEROLD      626       1376      6026      -9.380758E+03  -1.007355E+04  1.25E-05  3.79E-04  3     1000  6.19      Maxiter   
PILOT-JA    941       1988      14706     -6.113134E+03  -6.073128E+03  8.76E-04  4.47E-01  1     1000  12.33     Maxiter   
PILOT-WE    723       2789      9218      -2.720103E+06  -2.720108E+06  5.19E-05  3.73E-05  1     741   2.32      Erfolg    
PILOT       1442      3652      43220     -5.574043E+02  -5.574941E+02  1.44E-06  9.78E-05  0     162   4.16      Erfolg    
PILOT4      411       1000      5145      -2.581139E+03  -2.542329E+03  1.14E-04  7.14E-02  0     1000  5.58      Maxiter   
PILOT87     2031      4883      73804     3.017107E+02   3.017094E+02   1.08E-06  9.95E-05  0     129   5.63      Erfolg    
PILOTNOV    976       2172      13129     -4.497276E+03  -4.497276E+03  7.36E-08  3.15E-05  7     401   3.75      Erfolg    
QAP12       3193      8856      44244     5.228944E+02   5.228841E+02   1.57E-05  2.11E-03  3     1000  145.72    Maxiter   
QAP15       6331      22275     110700    1.040994E+03   1.040908E+03   3.00E-05  3.62E-03  2     1000  700.37    Maxiter   
QAP8        913       1632      8304      2.035000E+02   2.035000E+02   3.81E-05  7.63E-05  6     8     0.08      Erfolg    
RECIPE      92        180       752       -2.666160E+02  -2.666160E+02  9.32E-05  1.87E-04  4     12    0.02      Erfolg    
SC105       106       103       281       -5.220206E+01  -5.220206E+01  7.34E-06  1.44E-05  6     85    0.12      Erfolg    
SC205       206       203       552       -5.220206E+01  -5.220210E+01  1.40E-07  1.16E-07  7     194   0.32      Erfolg    
SC50A       51        48        131       -6.457508E+01  -6.457508E+01  2.46E-04  2.12E-04  4     31    0.03      Erfolg    
SC50B       51        48        119       -7.000000E+01  -7.000000E+01  4.30E-05  1.49E-07  3     23    0.02      Erfolg    
SCAGR25     472       500       2029      -1.475343E+07  -1.475343E+07  2.60E-05  2.52E-08  3     58    0.06      Erfolg    
SCAGR7      130       140       553       -2.331389E+06  -2.331390E+06  1.35E-05  1.30E-07  3     25    0.02      Erfolg    
SCFXM1      331       457       2612      1.841676E+04   1.841676E+04   1.25E-05  2.58E-05  8     218   0.36      Erfolg    
SCFXM2      661       914       5229      3.666026E+04   3.666026E+04   1.21E-05  2.43E-05  9     120   0.23      Erfolg    
SCFXM3      991       1371      7846      5.490125E+04   5.490125E+04   2.26E-04  6.84E-05  4     95    0.22      Erfolg    
SCORPION    389       358       1708      1.878125E+03   1.878125E+03   6.55E-05  5.43E-05  5     54    0.06      Erfolg    
SCRS8       491       1169      4029      9.043000E+02   9.042970E+02   7.75E-07  2.01E-06  7     57    0.08      Erfolg    
SCSD1       78        760       3148      8.666667E+00   8.666667E+00   1.08E-04  8.19E-05  2     11    0.01      Erfolg    
SCSD6       148       1350      5666      5.050000E+01   5.050000E+01   2.01E-04  2.28E-04  2     13    0.01      Erfolg    
SCSD8       398       2750      11334     9.050000E+02   9.050000E+02   4.79E-05  6.60E-05  6     9     0.02      Erfolg    
SCTAP1      301       480       2052      1.412250E+03   1.412250E+03   1.71E-04  1.15E-04  3     23    0.02      Erfolg    
SCTAP2      1091      1880      8124      1.724807E+03   1.724807E+03   1.35E-04  3.93E-05  1     21    0.04      Erfolg    
SCTAP3      1481      2480      10734     1.424000E+03   1.424000E+03   3.85E-05  2.98E-05  3     16    0.05      Erfolg    
SHARE1B     118       225       1182      -7.658932E+04  -7.658922E+04  2.14E-06  4.11E-08  10    664   0.86      Erfolg    
SHARE2B     97        79        730       -4.157322E+02  -4.157322E+02  1.97E-04  8.23E-05  2     18    0.01      Erfolg    
SHELL       537       1775      4900      1.208825E+09   1.208825E+09   9.63E-03  7.80E-03  6     28    0.04      Erfolg    
SHIP04L     403       2118      8450      1.793325E+06   1.793325E+06   1.51E-04  9.26E-05  3     128   0.22      Erfolg    
SHIP04S     403       1458      5810      1.798715E+06   1.798715E+06   1.19E-03  9.45E-04  3     102   0.14      Erfolg    
SHIP08L     779       4283      17085     1.909055E+06   1.909055E+06   8.10E-04  6.52E-04  4     197   0.52      Erfolg    
SHIP08S     779       2387      9501      1.920098E+06   1.920098E+06   2.68E-03  9.60E-04  3     87    0.14      Erfolg    
SHIP12L     1152      5427      21597     1.470188E+06   1.470188E+06   4.31E-04  3.54E-04  3     190   0.59      Erfolg    
SHIP12S     1152      2763      10941     1.489236E+06   1.489236E+06   1.37E-03  5.20E-04  3     111   0.19      Erfolg    
SIERRA      1228      2036      9252      1.539436E+07   1.539436E+07   1.52E-04  8.40E-05  0     31    0.08      Erfolg    
STAIR       357       467       3857      -2.512670E+02  -2.512670E+02  2.08E-05  4.16E-05  7     303   1.04      Erfolg    
STANDATA    360       1075      3038      1.257699E+03   1.257700E+03   1.29E-02  1.11E-03  0     17    0.02      Erfolg    
STANDMPS    468       1075      3686      1.406017E+03   1.406018E+03   3.14E-03  9.17E-04  0     25    0.03      Erfolg    
STOCFOR1    118       111       474       -4.113198E+04  -4.113198E+04  1.91E-03  3.17E-03  5     42    0.04      Erfolg    
STOCFOR2    2158      2031      9492      -3.902441E+04  -3.902441E+04  2.42E-04  9.35E-05  2     100   0.28      Erfolg    
STOCFOR3    16676     15695     74004     -3.997666E+04  -3.997678E+04  9.83E-06  3.05E-06  4     64    1.35      Erfolg    
TRUSS       1001      8806      36642     4.588158E+05   4.588158E+05   4.70E-04  1.31E-04  3     26    0.23      Erfolg    
TUFF        334       587       4523      2.921478E-01   2.921444E-01   5.56E-08  2.76E-05  8     460   1.01      Erfolg    
VTP-BASE    199       203       914       1.298315E+05   1.298315E+05   2.92E-06  2.64E-05  5     180   0.20      Erfolg    
WOOD1P      245       2594      70216     1.442902E+00   1.442902E+00   6.64E-05  8.64E-05  0     20    0.71      Erfolg    
WOODW       1099      8405      37478     1.304476E+00   1.304476E+00   1.74E-06  3.25E-06  0     85    0.83      Erfolg    
