CMDLINE /opt/conda/bin/python mainlp.py
MEM 4.906250 1725059998.9677
MEM 21.757812 1725059999.0680
MEM 34.109375 1725059999.1683
MEM 45.437500 1725059999.2685
MEM 74.687500 1725059999.3689
MEM 102.195312 1725059999.4692
MEM 130.613281 1725059999.5697
MEM 105.562500 1725059999.6701
MEM 105.597656 1725059999.7706
MEM 157.898438 1725059999.8711
MEM 115.851562 1725059999.9716
MEM 158.933594 1725060000.0722
MEM 146.656250 1725060000.1726
MEM 105.601562 1725060000.2729
MEM 157.386719 1725060000.3733
MEM 150.667969 1725060000.4738
MEM 105.613281 1725060000.5742
MEM 105.613281 1725060000.6745
MEM 105.613281 1725060000.7748
MEM 156.667969 1725060000.8753
MEM 136.667969 1725060000.9758
MEM 105.613281 1725060001.0762
MEM 152.667969 1725060001.1766
MEM 154.667969 1725060001.2770
MEM 105.628906 1725060001.3774
MEM 157.671875 1725060001.4778
MEM 157.929688 1725060001.5783
MEM 105.628906 1725060001.6787
MEM 158.960938 1725060001.7791
MEM 158.976562 1725060001.8795
MEM 105.644531 1725060001.9799
MEM 157.203125 1725060002.0804
MEM 154.699219 1725060002.1808
MEM 105.644531 1725060002.2811
MEM 121.898438 1725060002.3816
MEM 157.945312 1725060002.4821
MEM 105.644531 1725060002.5825
MEM 158.718750 1725060002.6829
MEM 148.699219 1725060002.7833
MEM 105.644531 1725060002.8836
MEM 107.898438 1725060002.9839
MEM 105.644531 1725060003.0844
MEM 154.699219 1725060003.1849
MEM 105.644531 1725060003.2852
MEM 105.644531 1725060003.3855
MEM 154.699219 1725060003.4859
MEM 140.699219 1725060003.5863
MEM 105.644531 1725060003.6868
MEM 105.644531 1725060003.7872
MEM 140.699219 1725060003.8877
MEM 130.367188 1725060003.9883
MEM 105.644531 1725060004.0892
MEM 113.898438 1725060004.1898
MEM 157.945312 1725060004.2903
MEM 156.906250 1725060004.3907
MEM 158.992188 1725060004.4910
MEM 115.914062 1725060004.5916
MEM 157.960938 1725060004.6920
MEM 142.714844 1725060004.7925
MEM 105.660156 1725060004.8928
MEM 119.914062 1725060004.9933
MEM 157.960938 1725060005.0938
MEM 142.718750 1725060005.1942
MEM 158.996094 1725060005.2946
MEM 157.964844 1725060005.3954
MEM 144.718750 1725060005.4959
MEM 158.480469 1725060005.5965
MEM 105.664062 1725060005.6968
MEM 109.917969 1725060005.7972
MEM 154.718750 1725060005.8977
MEM 158.996094 1725060005.9981
MEM 105.664062 1725060006.0984
MEM 105.664062 1725060006.1988
MEM 105.664062 1725060006.2992
MEM 157.964844 1725060006.3998
MEM 157.070312 1725060006.5002
MEM 105.679688 1725060006.6006
MEM 105.679688 1725060006.7009
MEM 105.679688 1725060006.8014
MEM 156.789062 1725060006.9017
MEM 105.679688 1725060007.0021
MEM 127.933594 1725060007.1025
MEM 105.679688 1725060007.2029
MEM 121.933594 1725060007.3032
MEM 110.718750 1725060007.4036
MEM 146.718750 1725060007.5039
MEM 184.718750 1725060007.6042
MEM 220.804688 1725060007.7045
MEM 256.804688 1725060007.8048
MEM 274.804688 1725060007.9052
MEM 105.695312 1725060008.0055
MEM 105.695312 1725060008.1059
MEM 105.695312 1725060008.2062
MEM 105.695312 1725060008.3066
MEM 105.695312 1725060008.4070
MEM 105.695312 1725060008.5074
MEM 105.695312 1725060008.6078
MEM 105.695312 1725060008.7081
MEM 105.695312 1725060008.8084
MEM 105.695312 1725060008.9087
MEM 105.695312 1725060009.0090
MEM 105.695312 1725060009.1092
MEM 105.695312 1725060009.2100
MEM 105.695312 1725060009.3103
MEM 105.695312 1725060009.4106
MEM 105.695312 1725060009.5109
MEM 105.695312 1725060009.6112
MEM 105.695312 1725060009.7116
MEM 105.695312 1725060009.8119
MEM 105.695312 1725060009.9123
MEM 105.695312 1725060010.0126
MEM 105.695312 1725060010.1129
MEM 105.695312 1725060010.2132
MEM 105.695312 1725060010.3135
MEM 105.695312 1725060010.4138
MEM 105.695312 1725060010.5142
MEM 105.695312 1725060010.6145
MEM 105.695312 1725060010.7148
MEM 105.695312 1725060010.8151
MEM 105.695312 1725060010.9154
MEM 105.695312 1725060011.0157
MEM 106.953125 1725060011.1160
MEM 106.953125 1725060011.2163
MEM 106.953125 1725060011.3166
MEM 106.953125 1725060011.4169
MEM 106.953125 1725060011.5172
MEM 106.953125 1725060011.6175
MEM 106.953125 1725060011.7178
MEM 106.953125 1725060011.8181
MEM 106.953125 1725060011.9184
MEM 106.953125 1725060012.0187
MEM 106.953125 1725060012.1190
MEM 107.210938 1725060012.2193
MEM 107.210938 1725060012.3197
MEM 107.210938 1725060012.4200
MEM 107.210938 1725060012.5203
MEM 107.210938 1725060012.6207
MEM 107.210938 1725060012.7210
MEM 107.210938 1725060012.8213
MEM 107.210938 1725060012.9216
MEM 107.210938 1725060013.0219
MEM 107.210938 1725060013.1223
MEM 107.210938 1725060013.2226
MEM 107.210938 1725060013.3229
MEM 107.210938 1725060013.4232
MEM 107.210938 1725060013.5236
MEM 107.210938 1725060013.6238
MEM 107.468750 1725060013.7242
MEM 107.468750 1725060013.8245
MEM 107.468750 1725060013.9249
MEM 107.726562 1725060014.0253
MEM 299.285156 1725060014.1259
MEM 595.285156 1725060014.2262
MEM 927.285156 1725060014.3272
MEM 1257.285156 1725060014.4276
MEM 1621.285156 1725060014.5280
MEM 1960.527344 1725060014.6285
MEM 2210.527344 1725060014.7289
MEM 2464.527344 1725060014.8294
MEM 2718.527344 1725060014.9297
MEM 2968.527344 1725060015.0301
MEM 3212.527344 1725060015.1306
MEM 3460.527344 1725060015.2309
MEM 3714.527344 1725060015.3312
MEM 2396.906250 1725060015.4317
MEM 3118.906250 1725060015.5321
MEM 3794.906250 1725060015.6325
MEM 1952.851562 1725060015.7330
MEM 183.683594 1725060015.8334
MEM 805.683594 1725060015.9337
MEM 1425.683594 1725060016.0342
MEM 2074.925781 1725060016.1347
MEM 2540.925781 1725060016.2352
MEM 3002.925781 1725060016.3356
MEM 3464.925781 1725060016.4361
MEM 2113.304688 1725060016.5365
MEM 2801.304688 1725060016.6369
MEM 3503.304688 1725060016.7373
MEM 3795.304688 1725060016.8376
MEM 1953.250000 1725060016.9380
MEM 375.796875 1725060017.0368
